site_id,outer_fold,strategy,K,selected_ex,relative_frobenius_error_fullrange,relative_frobenius_error_interpdomain,nrmse_energy_fullrange,spectral_cosine_fullrange,spectral_cosine_interpdomain,n_eval_fullrange,n_eval_interpdomain,rho_structure
S12,11,NAIG,3,365;425;480,0.2022252841054527,0.21391134712855833,0.2022252841054527,0.980255168422272,0.9797336928196965,4017,1548,0.9529282977558836
S12,11,NAIG,4,365;425;480;620,0.2004067540891034,0.20031083126195715,0.20040675408910347,0.9806530145449408,0.9817244203359777,4017,2712,0.9562123700054737
S12,11,NAIG,6,365;425;480;620;545;330,0.20124174051339308,0.20686425583097448,0.20124174051339316,0.9820032168596448,0.9802205048822167,4105,3255,0.9359605911330048
S12,11,NAIG,8,365;425;480;620;545;330;400;505,0.1631393076738639,0.1552262504207282,0.16313930767386395,0.987438084830434,0.9880871725559995,4105,3255,0.9633278598795842
S12,11,Uniform,2,300;700,0.22640166272725012,0.22640166272725012,0.22640166272725015,0.9741856073723025,0.9741856073723025,3782,3782,0.8160919540229885
S12,11,Uniform,3,300;500;700,0.2113110458876947,0.2113110458876947,0.21131104588769478,0.9778096029128881,0.9778096029128881,3885,3885,0.9250136836343734
S12,11,Uniform,4,300;435;565;700,0.21936039870856702,0.21936039870856702,0.21936039870856705,0.976070043431952,0.976070043431952,4142,4142,0.9792008757526
S12,11,Uniform,6,300;380;460;540;620;700,0.2025180204877207,0.2025180204877207,0.20251802048772075,0.9792789745639773,0.9792789745639773,4142,4142,0.9501915708812264
S12,11,Uniform,8,300;355;415;470;530;585;645;700,0.18069930464580053,0.18069930464580053,0.18069930464580056,0.9838873267059056,0.9838873267059056,4142,4142,0.9912424740010948
S13,12,NAIG,2,365;425,0.21370064927391483,0.1984907470778301,0.21370064927391486,0.9809275912198614,0.9825283372295529,4017,875,0.9354132457580736
S13,12,NAIG,3,365;425;480,0.1996236791881607,0.21532051072106087,0.19962367918816074,0.9824794787355375,0.9804676881200474,4017,1548,0.9578544061302684
S13,12,NAIG,4,365;425;480;620,0.19829863372674122,0.20499595815396712,0.19829863372674128,0.982306678834831,0.9824688403206147,4017,2712,0.9584017515052
S13,12,NAIG,6,365;425;480;620;545;685,0.19405427249930285,0.19604980263943877,0.19405427249930288,0.9827399428270855,0.9830804957395584,4017,3042,0.9441707717569788
S13,12,NAIG,8,365;425;480;620;545;685;505;450,0.1818940458341715,0.17362651324018358,0.18189404583417154,0.984040457665038,0.9853375054520489,4017,3042,0.9616858237547894
S13,12,Uniform,2,300;700,0.2430146771654591,0.2430146771654591,0.2430146771654591,0.9703818588393666,0.9703818588393666,3782,3782,0.7903667214012041
S13,12,Uniform,3,300;500;700,0.23535722789845617,0.23535722789845617,0.23535722789845623,0.9732259508455102,0.9732259508455102,3885,3885,0.8626163108921729
S13,12,Uniform,4,300;435;565;700,0.24786638600054853,0.24786638600054853,0.24786638600054858,0.9701756240598438,0.9701756240598438,4142,4142,0.9315818281335524
S13,12,Uniform,6,300;380;460;540;620;700,0.21509979613255864,0.21509979613255864,0.2150997961325587,0.9769639972842397,0.9769639972842397,4142,4142,0.9337712096332786
S13,12,Uniform,8,300;355;415;470;530;585;645;700,0.17799125508421124,0.17799125508421124,0.17799125508421126,0.9842383613569741,0.9842383613569741,4142,4142,0.9830322933771212
S14,13,NAIG,2,365;620,0.36990907329036626,0.5304529424973126,0.3699090732903663,0.9447588142996007,0.934796732001789,4017,2712,0.947454844006568
S14,13,NAIG,3,365;620;480,0.33267446212369517,0.46096057303430915,0.33267446212369517,0.9509608832141035,0.9357957179033136,4017,2712,0.9720853858784894
S14,13,NAIG,4,365;620;480;425,0.2526923486992995,0.29905612268187104,0.2526923486992995,0.9689097461963787,0.9646949683719858,4017,2712,0.9737274220032842
S14,13,NAIG,6,365;620;480;425;545;325,0.2506977770163895,0.2687167580143694,0.25069777701638946,0.9720951993739961,0.9662147606237128,4112,3336,0.9824849480021892
S14,13,NAIG,8,365;620;480;425;545;325;525;450,0.22558232632767536,0.23784468270688622,0.22558232632767533,0.9763477180143105,0.9722776857735782,4112,3336,0.9819376026272578
S14,13,Uniform,2,300;700,0.31438290456055207,0.31438290456055207,0.3143829045605521,0.949691650313351,0.949691650313351,3782,3782,0.8866995073891628
S14,13,Uniform,3,300;500;700,0.30697056842460785,0.30697056842460785,0.30697056842460785,0.9538597883808299,0.9538597883808299,3885,3885,0.9573070607553368
