site_id,outer_fold,strategy,K,selected_ex,selected_ex_span_nm,lower_edge_gap_nm,upper_edge_gap_nm,rho_structure,relative_frobenius_error_fullrange,nrmse_energy_fullrange,spectral_cosine_fullrange,reconstruction_supported_fraction_fullrange,single_support_fraction_fullrange,unsupported_fraction_fullrange,target_positions_fullrange,supported_positions_fullrange,single_support_positions_fullrange,unsupported_positions_fullrange,relative_frobenius_error_interpdomain,nrmse_energy_interpdomain,spectral_cosine_interpdomain,reconstruction_supported_fraction_interpdomain,single_support_fraction_interpdomain,unsupported_fraction_interpdomain,target_positions_interpdomain,supported_positions_interpdomain,single_support_positions_interpdomain,unsupported_positions_interpdomain,relative_frobenius_error_edgeonly,nrmse_energy_edgeonly,spectral_cosine_edgeonly,reconstruction_supported_fraction_edgeonly,single_support_fraction_edgeonly,unsupported_fraction_edgeonly,target_positions_edgeonly,supported_positions_edgeonly,single_support_positions_edgeonly,unsupported_positions_edgeonly,reconstruction_supported_fraction,single_support_fraction,unsupported_fraction
S02,1,NAIG,2,365;620,255,65,80,0.9578544061302684,0.2865436128203683,0.2865436128203682,0.9581198508447449,0.9681851048445409,0.6244878283923837,0.03181489515545915,4149,4017,2591,132,0.3192341124666924,0.3192341124666923,0.9486929618498642,0.9912280701754386,0.623172514619883,0.008771929824561403,2736,2712,1705,24,0.20799749214683896,0.20799749214683902,0.9793259990002696,0.9235668789808917,0.627034677990092,0.07643312101910828,1413,1305,886,108,0.9681851048445409,0.6244878283923837,0.03181489515545915
S02,1,NAIG,3,365;620;450,255,65,80,0.8741105637657363,0.2894734227446678,0.28947342274466786,0.957471065512639,0.9681851048445409,0.10315738732224633,0.03181489515545915,4149,4017,428,132,0.31492104476860366,0.31492104476860366,0.9491777030950826,0.9912280701754386,0.08114035087719298,0.008771929824561403,2736,2712,222,24,0.2315727286179201,0.23157272861792022,0.9763186128574575,0.9235668789808917,0.14578910120311395,0.07643312101910828,1413,1305,206,108,0.9681851048445409,0.10315738732224633,0.03181489515545915
S02,1,NAIG,4,365;620;450;695,330,65,5,0.875752599890531,0.2866160834275745,0.28661608342757455,0.9582257302870886,0.9681851048445409,0.10315738732224633,0.03181489515545915,4149,4017,428,132,0.3124083041847794,0.31240830418477933,0.9499482774880672,0.9922655494682565,0.07154366741862714,0.007734450531743474,3103,3079,222,24,0.21264406107802328,0.2126440610780232,0.9790301511567373,0.8967495219885278,0.19694072657743786,0.10325047801147227,1046,938,206,108,0.9681851048445409,0.10315738732224633,0.03181489515545915
S02,1,NAIG,6,365;620;450;695;545;425,330,65,5,0.9469074986316368,0.7306087894888652,0.7306087894888652,0.8617272759531899,0.9681851048445409,0.026271390696553387,0.03181489515545915,4149,4017,109,132,0.8590136410633583,0.8590136410633584,0.8411315712931892,0.9922655494682565,0.010634869481147276,0.007734450531743474,3103,3079,33,24,0.21420258494211142,0.21420258494211142,0.9788581952549108,0.8967495219885278,0.07265774378585087,0.10325047801147227,1046,938,76,108,0.9681851048445409,0.026271390696553387,0.03181489515545915
S02,1,NAIG,8,365;620;450;695;545;425;475;505,330,65,5,0.94471811713191,0.28378603068265246,0.28378603068265246,0.9588956932628887,0.9681851048445409,0.026271390696553387,0.03181489515545915,4149,4017,109,132,0.3087125543229646,0.3087125543229647,0.9517916469020165,0.9922655494682565,0.010634869481147276,0.007734450531743474,3103,3079,33,24,0.21267728511499187,0.21267728511499187,0.9790302810140006,0.8967495219885278,0.07265774378585087,0.10325047801147227,1046,938,76,108,0.9681851048445409,0.026271390696553387,0.03181489515545915
S02,1,Uniform,2,300;700,400,0,0,0.878489326765189,0.28257566110062066,0.2825756611006207,0.9619646347128836,0.9115449505905038,0.606411183417691,0.08845504940949626,4149,3782,2516,367,0.28257566110062066,0.2825756611006207,0.9619646347128836,0.9115449505905038,0.606411183417691,0.08845504940949626,4149,3782,2516,367,,,,,,,0,0,0,0,0.9115449505905038,0.606411183417691,0.08845504940949626
S02,1,Uniform,3,300;500;700,400,0,0,0.929392446633826,0.26930503952799056,0.2693050395279905,0.9664143333877,0.9363702096890817,0.18775608580380815,0.0636297903109183,4149,3885,779,264,0.26930503952799056,0.2693050395279905,0.9664143333877,0.9363702096890817,0.18775608580380815,0.0636297903109183,4149,3885,779,264,,,,,,,0,0,0,0,0.9363702096890817,0.18775608580380815,0.0636297903109183
S02,1,Uniform,4,300;435;565;700,400,0,0,0.955665024630542,0.26090684514436874,0.26090684514436874,0.9654460085729322,0.9983128464690287,0.1099060014461316,0.0016871535309713184,4149,4142,456,7,0.26090684514436874,0.26090684514436874,0.9654460085729322,0.9983128464690287,0.1099060014461316,0.0016871535309713184,4149,4142,456,7,,,,,,,0,0,0,0,0.9983128464690287,0.1099060014461316,0.0016871535309713184
S02,1,Uniform,6,300;380;460;540;620;700,400,0,0,0.9753694581280788,0.20980978589186977,0.20980978589186972,0.978491424264273,0.9983128464690287,0.04338394793926247,0.0016871535309713184,4149,4142,180,7,0.20980978589186977,0.20980978589186972,0.978491424264273,0.9983128464690287,0.04338394793926247,0.0016871535309713184,4149,4142,180,7,,,,,,,0,0,0,0,0.9983128464690287,0.04338394793926247,0.0016871535309713184
S02,1,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.9863163656267104,0.19434151799463312,0.19434151799463312,0.9816294751453801,0.9983128464690287,0.023620149433598456,0.0016871535309713184,4149,4142,98,7,0.19434151799463312,0.19434151799463312,0.9816294751453801,0.9983128464690287,0.023620149433598456,0.0016871535309713184,4149,4142,98,7,,,,,,,0,0,0,0,0.9983128464690287,0.023620149433598456,0.0016871535309713184
