site_id,configuration_id,relative_frobenius_error,spectral_cosine,rho_structure,quadrant
S16,NAIG-fold-specific,0.2339250417112808,0.9734559453171964,0.9534756431308156,C_low_rho_low_error
S16,NAIG-fold-specific,0.2232425998322946,0.9751242983313262,0.93431855500821,C_low_rho_low_error
S16,NAIG-fold-specific,0.2192378259137805,0.9759846076710876,0.9211822660098524,C_low_rho_low_error
S16,NAIG-fold-specific,0.299099421297745,0.9656738186492808,0.9649698960043788,B_high_rho_high_error
S16,NAIG-fold-specific,0.2605050909817522,0.970080878154002,0.9704433497536946,B_high_rho_high_error
S17,NAIG-fold-specific,0.2087258104443328,0.9804862412031417,0.90311986863711,C_low_rho_low_error
S17,NAIG-fold-specific,0.2058789362260526,0.9807673437439411,0.9518336070060208,C_low_rho_low_error
S17,NAIG-fold-specific,0.2045913742222351,0.9808439129742588,0.9688013136289,A_high_rho_low_error
S17,NAIG-fold-specific,0.2216227265169894,0.9793046005631526,0.9802955665024632,A_high_rho_low_error
S17,NAIG-fold-specific,0.2092421592118178,0.9807716095435428,0.9868637110016424,A_high_rho_low_error
S18,NAIG-fold-specific,0.2090251748794271,0.9820253932047738,0.9534756431308156,C_low_rho_low_error
S18,NAIG-fold-specific,0.2053009499500403,0.98264878538098,0.961138478379858,A_high_rho_low_error
S18,NAIG-fold-specific,0.2456662717657157,0.9781772353730486,0.9480021893815,D_low_rho_high_error
S18,NAIG-fold-specific,0.2176825320409652,0.9816261558514224,0.9677066228790367,A_high_rho_low_error
S18,NAIG-fold-specific,0.2146093310535987,0.9781508033351152,0.9726327312534212,A_high_rho_low_error
S19,NAIG-fold-specific,0.3528197377821369,0.9460739274305088,0.9781061850027368,B_high_rho_high_error
S19,NAIG-fold-specific,0.3111827800659562,0.9543851336585076,0.9835796387520526,B_high_rho_high_error
S19,NAIG-fold-specific,0.3892085432380679,0.9349308795840174,0.9874110563765736,B_high_rho_high_error
S19,NAIG-fold-specific,0.3986399685313323,0.9363476346913006,0.9967159277504108,B_high_rho_high_error
S19,NAIG-fold-specific,0.3705990349710317,0.9291756453963927,0.9956212370005476,B_high_rho_high_error
S20,NAIG-fold-specific,0.2716722050495158,0.9676960878727624,0.9562123700054734,B_high_rho_high_error
S20,NAIG-fold-specific,0.2660303151598927,0.9698673569407376,0.963327859879584,B_high_rho_high_error
S20,NAIG-fold-specific,0.2656429882286318,0.9697190452305052,0.960591133004926,B_high_rho_high_error
S20,NAIG-fold-specific,0.2278136162872385,0.9755921191952752,0.9540229885057472,C_low_rho_low_error
S20,NAIG-fold-specific,0.2466111848825752,0.9713875409034152,0.9573070607553368,B_high_rho_high_error
