site_id,strategy,K,selected_ex,selected_ex_span_nm,lower_edge_gap_nm,upper_edge_gap_nm,relative_frobenius_error_fullrange,relative_frobenius_error_interpdomain,spectral_cosine_fullrange,reconstruction_supported_fraction_fullrange,unsupported_fraction_fullrange
S18,Uniform,6,300;380;460;540;620;700,400,0,0,0.18317180947724515,0.18317180947724515,0.9833292788006447,0.9983128464690287,0.0016871535309713184
S18,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.1604529779558547,0.1604529779558547,0.9873458481198292,0.9983128464690287,0.0016871535309713184
S19,NAIG,2,325;410,85,25,290,0.35281973778213693,0.270594374276999,0.9460739274305088,0.9910821884791516,0.008917811520848397
S19,NAIG,3,325;410;610,285,25,90,0.3111827800659562,0.3336489461627689,0.9543851336585077,0.9910821884791516,0.008917811520848397
S19,NAIG,4,325;410;610;475,285,25,90,0.3892085432380679,0.3894361682752848,0.9349308795840174,0.9910821884791516,0.008917811520848397
S19,NAIG,6,325;410;610;475;365;495,285,25,90,0.3986399685313323,0.43189706704291964,0.9363476346913006,0.9910821884791516,0.008917811520848397
S19,NAIG,8,325;410;610;475;365;495;305;700,395,5,0,0.3705990349710317,0.3720065531433526,0.9291756453963929,0.9987948903350204,0.001205109664979513
S19,Uniform,2,300;700,400,0,0,0.3761516602116632,0.3761516602116632,0.931638160059073,0.9115449505905038,0.08845504940949626
S19,Uniform,3,300;500;700,400,0,0,0.35082833404422836,0.35082833404422836,0.9415117283302602,0.9363702096890817,0.0636297903109183
S19,Uniform,4,300;435;565;700,400,0,0,0.3663465776660978,0.3663465776660978,0.9331545130038122,0.9983128464690287,0.0016871535309713184
S19,Uniform,6,300;380;460;540;620;700,400,0,0,0.3001222813488381,0.3001222813488381,0.9547865995978071,0.9983128464690287,0.0016871535309713184
S19,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.24314941557132294,0.24314941557132294,0.9717487435777057,0.9983128464690287,0.0016871535309713184
