site_id,strategy,K,selected_ex,relative_frobenius_error_fullrange,relative_frobenius_error_interpdomain,spectral_cosine_fullrange,spectral_cosine_interpdomain,reconstruction_supported_fraction_fullrange,unsupported_fraction_fullrange
S05,Uniform,2,300;700,0.2173135173856565,0.2173135173856565,0.9769431601688946,0.9769431601688946,0.9115449505905038,0.0884550494094962
S05,Uniform,3,300;500;700,0.1854296170638486,0.1854296170638486,0.9826605831713452,0.9826605831713452,0.9363702096890816,0.0636297903109183
S05,Uniform,4,300;435;565;700,0.1887062065457601,0.1887062065457601,0.9820443288479296,0.9820443288479296,0.9983128464690288,0.0016871535309713
S05,Uniform,6,300;380;460;540;620;700,0.1784395404405651,0.1784395404405651,0.9840413075470806,0.9840413075470806,0.9983128464690288,0.0016871535309713
S05,Uniform,8,300;355;415;470;530;585;645;700,0.1719851548689386,0.1719851548689386,0.9860141034011202,0.9860141034011202,0.9983128464690288,0.0016871535309713
S06,NAIG,2,365;425,0.6101482217164914,0.4871653031888763,0.8060942325072347,0.8752345043020758,0.9681851048445408,0.0318148951554591
S06,NAIG,3,365;425;610,0.609841765940359,0.5344455345314476,0.8053492256866607,0.8482870461034987,0.9681851048445408,0.0318148951554591
S06,NAIG,4,365;425;610;545,0.6110132215113956,0.5362467147910394,0.8056072242732015,0.8463186298477621,0.9681851048445408,0.0318148951554591
S06,NAIG,6,365;425;610;545;505;450,0.5675364043500734,0.4707690814090536,0.8423456801144761,0.8822575443607203,0.9681851048445408,0.0318148951554591
S06,NAIG,8,365;425;610;545;505;450;305;695,0.6521715687548343,0.6458428481248036,0.7623170228204911,0.7716587862627801,0.997589780670041,0.002410219329959
S06,Uniform,2,300;700,0.6458905269782164,0.6458905269782164,0.7832669019475084,0.7832669019475084,0.9115449505905038,0.0884550494094962
S06,Uniform,3,300;500;700,0.6383526079779658,0.6383526079779658,0.7820889947878827,0.7820889947878827,0.9363702096890816,0.0636297903109183
S06,Uniform,4,300;435;565;700,0.627489671410028,0.627489671410028,0.7789630282734716,0.7789630282734716,0.9983128464690288,0.0016871535309713
S06,Uniform,6,300;380;460;540;620;700,0.5648078342247765,0.5648078342247765,0.8285099263059743,0.8285099263059743,0.9983128464690288,0.0016871535309713
S06,Uniform,8,300;355;415;470;530;585;645;700,0.5449812609236478,0.5449812609236478,0.8385035477711716,0.8385035477711716,0.9983128464690288,0.0016871535309713
S07,NAIG,2,365;425,0.2716464068492699,0.2129639132540703,0.9657966596222052,0.9792811769491409,0.9681851048445408,0.0318148951554591
S07,NAIG,3,365;425;480,0.2730020780733993,0.2753704641920684,0.964826273426123,0.9623966782620836,0.9681851048445408,0.0318148951554591
S07,NAIG,4,365;425;480;575,0.2681816454573231,0.2823030765371803,0.9655673217000074,0.9598948734334524,0.9681851048445408,0.0318148951554591
S07,NAIG,6,365;425;480;575;510;305,0.3213498276124626,0.3171120554469434,0.9507029540803884,0.9547869350864486,0.997589780670041,0.002410219329959
S07,NAIG,8,365;425;480;575;510;305;695;625,0.307019588097342,0.3049097199080571,0.9555505177863268,0.9577916568904622,0.997589780670041,0.002410219329959
S07,Uniform,2,300;700,0.3262773494004187,0.3262773494004187,0.9551992488199628,0.9551992488199628,0.9115449505905038,0.0884550494094962
S07,Uniform,3,300;500;700,0.3125196672107272,0.3125196672107272,0.9622107253518082,0.9622107253518082,0.9363702096890816,0.0636297903109183
S07,Uniform,4,300;435;565;700,0.3086617941757957,0.3086617941757957,0.9604565923481378,0.9604565923481378,0.9983128464690288,0.0016871535309713
S07,Uniform,6,300;380;460;540;620;700,0.2739200048154785,0.2739200048154785,0.9638378383861194,0.9638378383861194,0.9983128464690288,0.0016871535309713
