site_id,strategy,K,selected_ex,rho_structure,relative_frobenius_error_fullrange,spectral_cosine_fullrange
S20,Uniform,3,300;500;700,0.9408866995073892,0.2840854210461063,0.9709158932662498
S20,Uniform,4,300;435;565;700,0.976464148877942,0.2931076073380487,0.9680782169563976
S20,Uniform,6,300;380;460;540;620;700,0.975369458128079,0.2502530517151722,0.9703184004318892
S20,Uniform,8,300;355;415;470;530;585;645;700,0.9868637110016422,0.2020586594557354,0.9795544376373588
S21,NAIG,2,365;545,0.9277504105090312,0.705752877407163,0.7569746694220071
S21,NAIG,3,365;545;480,0.9567597153804052,0.6848498063105026,0.7705168024217488
S21,NAIG,4,365;545;480;620,0.9430760810071156,0.6850348476261097,0.7697872047790265
S21,NAIG,6,365;545;480;620;425;695,0.9277504105090312,0.6584072730114363,0.7988341802038599
S21,NAIG,8,365;545;480;620;425;695;505;450,0.942528735632184,0.6334682557787704,0.8209399745268212
S21,Uniform,2,300;700,0.8177339901477834,0.662074646325469,0.7628724092048386
S21,Uniform,3,300;500;700,0.8927203065134102,0.6437700972203241,0.7853883294414046
S21,Uniform,4,300;435;565;700,0.9792008757526,0.6398349795176516,0.7708309291668166
S21,Uniform,6,300;380;460;540;620;700,0.9748221127531476,0.5742383875419789,0.8212778860219655
