strategy,K,selected_ex,relative_frobenius_error_fullrange,spectral_cosine_fullrange,rho_structure
Uniform,2,300;700,0.1766913003860938,0.9842665949039988,0.8773946360153257
Uniform,3,300;500;700,0.16053334125164,0.9880811465646064,0.9184455391351944
Uniform,4,300;435;565;700,0.1642441327026003,0.9865758515554546,0.9666119321291736
Uniform,6,300;380;460;540;620;700,0.1563736326309432,0.987702486568628,0.9720853858784896
Uniform,8,300;355;415;470;530;585;645;700,0.1494780436882817,0.9888013285370816,0.9928845101258896
NAIG,2,365;425,0.2339250417112808,0.9734559453171964,0.9534756431308156
NAIG,3,365;425;480,0.2232425998322946,0.9751242983313262,0.93431855500821
NAIG,4,365;425;480;620,0.2192378259137805,0.9759846076710876,0.9211822660098524
NAIG,6,365;425;480;620;545;325,0.299099421297745,0.9656738186492808,0.9649698960043788
NAIG,8,365;425;480;620;545;325;505;400,0.2605050909817522,0.970080878154002,0.9704433497536946
Uniform,2,300;700,0.2502829153483109,0.968181463506126,0.7668308702791462
Uniform,3,300;500;700,0.2391072123068716,0.9722001316394338,0.9069512862616312
Uniform,4,300;435;565;700,0.2400489558737602,0.9719982728004404,0.9682539682539684
Uniform,6,300;380;460;540;620;700,0.2217394752949569,0.975116025957796,0.932129173508484
Uniform,8,300;355;415;470;530;585;645;700,0.1959441663946135,0.9817267040528744,0.9890530925013684
NAIG,2,365;425,0.2087258104443328,0.9804862412031417,0.90311986863711
NAIG,3,365;425;480,0.2058789362260526,0.9807673437439411,0.9518336070060208
NAIG,4,365;425;480;620,0.2045913742222351,0.9808439129742588,0.9688013136289
NAIG,6,365;425;480;620;545;325,0.2216227265169894,0.9793046005631526,0.9802955665024632
NAIG,8,365;425;480;620;545;325;505;400,0.2092421592118178,0.9807716095435428,0.9868637110016424
Uniform,2,300;700,0.2403465753657079,0.9714743859351792,0.808976464148878
Uniform,3,300;500;700,0.2212124289751953,0.9786592538389488,0.9129720853858784
Uniform,4,300;435;565;700,0.2196210084276547,0.9788599081587668,0.9802955665024632
Uniform,6,300;380;460;540;620;700,0.1982739222337553,0.9805839152078648,0.9622331691297208
Uniform,8,300;355;415;470;530;585;645;700,0.1686481320932799,0.985685273387483,0.9852216748768472
NAIG,2,365;480,0.2090251748794271,0.9820253932047738,0.9534756431308156
NAIG,3,365;480;545,0.2053009499500403,0.98264878538098,0.961138478379858
NAIG,4,365;480;545;425,0.2456662717657157,0.9781772353730486,0.9480021893815
NAIG,6,365;480;545;425;620;330,0.2176825320409652,0.9816261558514224,0.9677066228790367
NAIG,8,365;480;545;425;620;330;505;305,0.2146093310535987,0.9781508033351152,0.9726327312534212
Uniform,2,300;700,0.2085454410295808,0.9783206210699392,0.8653530377668309
Uniform,3,300;500;700,0.1845898803077652,0.9832915499097334,0.9332238642583472
Uniform,4,300;435;565;700,0.1874410991815191,0.982993809004756,0.9584017515052
Uniform,6,300;380;460;540;620;700,0.1831718094772451,0.9833292788006448,0.9562123700054737
Uniform,8,300;355;415;470;530;585;645;700,0.1604529779558547,0.9873458481198292,0.9775588396278052
NAIG,2,325;410,0.3528197377821369,0.9460739274305088,0.9781061850027368
NAIG,3,325;410;610,0.3111827800659562,0.9543851336585076,0.9835796387520526
NAIG,4,325;410;610;475,0.3892085432380679,0.9349308795840174,0.9874110563765736
NAIG,6,325;410;610;475;365;495,0.3986399685313323,0.9363476346913006,0.9967159277504108
NAIG,8,325;410;610;475;365;495;305;700,0.3705990349710317,0.9291756453963927,0.9956212370005476
Uniform,2,300;700,0.3761516602116632,0.931638160059073,0.9545703338806788
Uniform,3,300;500;700,0.3508283340442283,0.9415117283302602,0.975369458128079
Uniform,4,300;435;565;700,0.3663465776660978,0.9331545130038122,0.9720853858784896
Uniform,6,300;380;460;540;620;700,0.3001222813488381,0.9547865995978072,0.9967159277504106
Uniform,8,300;355;415;470;530;585;645;700,0.2431494155713229,0.9717487435777056,0.9967159277504106
NAIG,2,365;480,0.2716722050495158,0.9676960878727624,0.9562123700054734
NAIG,3,365;480;630,0.2660303151598927,0.9698673569407376,0.963327859879584
NAIG,4,365;480;630;545,0.2656429882286318,0.9697190452305052,0.960591133004926
NAIG,6,365;480;630;545;425;695,0.2278136162872385,0.9755921191952752,0.9540229885057472
NAIG,8,365;480;630;545;425;695;510;400,0.2466111848825752,0.9713875409034152,0.9573070607553368
Uniform,2,300;700,0.290049147215651,0.9642711187497092,0.8604269293924467
Uniform,3,300;500;700,0.2840854210461063,0.9709158932662498,0.9408866995073892
